code,name,sector,price,per,eps,pbr,bps,dividendYield
060310,3S,벤처기업부,,,,,,
095570,AJ네트웍스,,,,,,,
006840,AK홀딩스,,,,,,,
054620,APS,중견기업부,,,,,,
079810,APS이노베이션,우량기업부,,,,,,
265520,AP시스템,우량기업부,,,,,,
211270,AP위성,우량기업부,,,,,,
027410,BGF,,,,,,,
282330,BGF리테일,,,,,,,
126600,BGF에코머티리얼즈,우량기업부,,,,,,
138930,BNK금융지주,,,,,,,
001460,BYC,,,,,,,
001465,BYC우,,,,,,,
083790,CG인바이츠,벤처기업부,,,,,,
001040,CJ,,,,,,,
079160,CJ CGV,,,,,,,
035760,CJ ENM,중견기업부,,,,,,
311690,CJ 바이오사이언스,기술성장기업부,,,,,,
00104K,CJ4우(전환),,,,,,,
000120,CJ대한통운,,,,,,,
011150,CJ씨푸드,,,,,,,
011155,CJ씨푸드1우,,,,,,,
001045,CJ우,,,,,,,
097950,CJ제일제당,,,,,,,
097955,CJ제일제당 우,,,,,,,
051500,CJ프레시웨이,우량기업부,,,,,,
058820,CMG제약,중견기업부,,,,,,
056730,CNT85,중견기업부,,,,,,
000480,CR홀딩스,,,,,,,
065770,CS,벤처기업부,,,,,,
083660,CSA 코스믹,중견기업부,,,,,,
000590,CS홀딩스,,,,,,,
012030,DB,,,,,,,
477760,DB금융스팩12호,SPAC(소속부없음),,,,,,
005830,DB손해보험,,,,,,,
016610,DB증권,,,,,,,
000990,DB하이텍,,,,,,,
099520,DGI,관리종목(소속부없음),,,,,,
000300,DH오토넥스,,,,,,,
290120,DH오토리드,중견기업부,,,,,,
025440,DH오토웨어,투자주의환기종목(소속부없음),,,,,,
001530,DI동일,,,,,,,
015590,DKME,,,,,,,
000210,DL,,,,,,,
000215,DL우,,,,,,,
375500,DL이앤씨,,,,,,,
37550L,DL이앤씨2우(전환),,,,,,,
37550K,DL이앤씨우,,,,,,,
068790,DMS,우량기업부,,,,,,
007340,DN오토모티브,,,,,,,
004840,DRB동일,,,,,,,
241520,DSC인베스트먼트,중견기업부,,,,,,
155660,DSR,,,,,,,
